zip,towns
98001,"['Algona', 'Auburn', 'Federal Way']"
98002,['Auburn']
98003,"['Auburn', 'Federal Way']"
98004,"['Beaux Arts Village', 'Bellevue', 'Clyde Hill', 'Hunts Point', 'Yarrow Point']"
98005,['Bellevue']
98006,['Bellevue']
98007,['Bellevue']
98008,['Bellevue']
98009,['Bellevue']
98010,['Black Diamond']
98011,['Bothell']
98013,"['Burton', 'Vashon']"
98014,['Carnation']
98015,['Bellevue']
98019,['Duvall']
98022,['Enumclaw']
98023,"['Auburn', 'Federal Way']"
98024,['Fall City']
98025,['Hobart']
98027,['Issaquah']
98028,"['Kenmore', 'Bothell']"
98029,['Issaquah']
98030,['Kent']
98031,['Kent']
98032,['Kent']
98033,['Kirkland']
98034,['Kirkland']
98035,['Kent']
98038,['Maple Valley']
98039,['Medina']
98040,['Mercer Island']
98041,['Bothell']
98042,"['Covington', 'Kent']"
98045,['North Bend']
98047,"['Auburn', 'Pacific']"
98050,['Preston']
98051,['Ravensdale']
98052,['Redmond']
98053,['Redmond']
98054,['Redondo']
98055,['Renton']
98056,"['Newcastle', 'Renton']"
98057,['Renton']
98058,['Renton']
98059,"['Newcastle', 'Renton']"
98062,['Seahurst']
98063,"['Auburn', 'Federal Way']"
98064,['Kent']
98065,['Snoqualmie']
98068,"['Snoqualmie Pass', 'Snoqualmie']"
98070,['Vashon']
98071,['Auburn']
98072,['Woodinville']
98073,['Redmond']
98074,"['Sammamish', 'Redmond']"
98075,"['Sammamish', 'Issaquah']"
98083,['Kirkland']
98092,['Auburn']
98093,"['Auburn', 'Federal Way']"
98101,['Seattle']
98102,['Seattle']
98103,['Seattle']
98104,['Seattle']
98105,['Seattle']
98106,['Seattle']
98107,['Seattle']
98108,"['Seattle', 'Tukwila']"
98109,['Seattle']
98111,['Seattle']
98112,['Seattle']
98114,['Seattle']
98115,['Seattle']
98116,['Seattle']
98117,['Seattle']
98118,['Seattle']
98119,['Seattle']
98121,['Seattle']
98122,['Seattle']
98124,['Seattle']
98125,['Seattle']
98126,['Seattle']
98131,['Seattle']
98132,['Seattle']
98133,"['Seattle', 'Shoreline']"
98134,['Seattle']
98136,['Seattle']
98138,"['Seattle', 'Tukwila']"
98144,['Seattle']
98145,['Seattle']
98146,"['Burien', 'Seattle']"
98148,"['Burien', 'Des Moines', 'Normandy Park', 'Seatac', 'Seattle']"
98154,['Seattle']
98155,"['Lk Forest Park', 'Lk Forest Pk', 'Lake Forest Park', 'Seattle', 'Shoreline']"
98158,"['Seatac', 'Seattle']"
98160,['Seattle']
98161,['Seattle']
98164,['Seattle']
98166,"['Burien', 'Normandy Park', 'Seattle']"
98168,"['Burien', 'Seatac', 'Seattle', 'Tukwila']"
98171,['Seattle']
98174,['Seattle']
98177,"['Seattle', 'Shoreline']"
98178,"['Seattle', 'Tukwila']"
98188,"['Seatac', 'Seattle', 'Tukwila']"
98198,"['Des Moines', 'Normandy Park', 'Seatac', 'Seattle']"
98199,['Seattle']
98224,['Baring']
98288,['Skykomish']
